,City,City Link,Course,Course Link
70,Bodega Bay,http://www.golfcalifornia.com/courses/bodega-bay/,The Links at Bodega Harbour,http://www.golfcalifornia.com/courses/bodega-bay/links-at-bodega-harbour/
71,Bonita,http://www.golfcalifornia.com/courses/bonita/,Bonita Golf Club,http://www.golfcalifornia.com/courses/bonita/bonita-gc/
72,Bonita,http://www.golfcalifornia.com/courses/bonita/,Chula Vista Municipal Golf Course,http://www.golfcalifornia.com/courses/bonita/chula-vista-gc/
73,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,Club Circle Golf Course,http://www.golfcalifornia.com/courses/borrego-springs/club-circle-golf-course/
74,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,De Anza Country Club,http://www.golfcalifornia.com/courses/borrego-springs/de-anza-desert-cc/
75,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,Desert Willow Golf Course at Borrego Springs Resort,http://www.golfcalifornia.com/courses/borrego-springs/borrego-springs-desert-willow/
76,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,Mesquite Golf Course at Borrego Springs Resort,http://www.golfcalifornia.com/courses/borrego-springs/borrego-springs-mesquite/
77,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,Rams Hill Golf Club,http://www.golfcalifornia.com/courses/borrego-springs/montesoro-gc-fazio/
78,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,Road Runner Club Golf & Country Club,http://www.golfcalifornia.com/courses/borrego-springs/road-runner-gc/
79,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,The Palms Golf Course at Borrego Springs Resort,http://www.golfcalifornia.com/courses/borrego-springs/borrego-springs-palms/
80,Borrego Springs,http://www.golfcalifornia.com/courses/borrego-springs/,The Springs at Borrego RV Resort and Golf Course,http://www.golfcalifornia.com/courses/borrego-springs/the-springs-at-borrego/
81,Boulder Creek,http://www.golfcalifornia.com/courses/boulder-creek/,Boulder Creek Golf & Country Club,http://www.golfcalifornia.com/courses/boulder-creek/boulder-creek-cc/
82,Brawley,http://www.golfcalifornia.com/courses/brawley/,Del Rio Country Club,http://www.golfcalifornia.com/courses/brawley/del-rio-cc/
83,Brea,http://www.golfcalifornia.com/courses/brea/,Birch Hills Golf Course,http://www.golfcalifornia.com/courses/brea/birch-hills-gc/
84,Brea,http://www.golfcalifornia.com/courses/brea/,Brea Creek Golf Course,http://www.golfcalifornia.com/courses/brea/brea-creek-gc/
85,Brentwood,http://www.golfcalifornia.com/courses/brentwood/,Creekside/Diablo at Brentwood Golf Club,http://www.golfcalifornia.com/courses/brentwood/brentwood-gc-creekside-diablo/
